mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,Cminor_count,C#/Dbminor_count,Dminor_count,D#_Ebminor_count,D#_EbMajor_count,Gminor_count,BMajor_count
ISFP,SP,isfp x intp,72vk0HNNwnOF6vY2eml6NR,50,0.55542,0.15407447,0.585876,0.210210491,-7.91286,3.175985761,0.64,0.484873221,0.056534,0.041233989,0.24896872,0.310732787,0.174498,0.12841888,0.406514,0.244314414,129.08308,26.86589182,0.122350829,0.26198877,1,1,5,2,4,3,3,1,3,4,1,2,0,5,3,2,4,3,0,0,1,0,0,2
ISFP,SP,isfp,4fhUxN4akURYUOR4khumBq,50,0.57548,0.145672437,0.515314,0.1935022,-8.42756,3.549252041,0.72,0.453557368,0.048276,0.029454341,0.4091736,0.322536228,0.156648,0.135274168,0.41372,0.212610887,119.45658,31.38256494,0.028232927,0.117118907,5,2,2,3,1,1,5,1,3,2,1,2,1,5,1,6,0,1,2,2,0,1,1,2
ISFP,SP,ISFP 새벽감성,6bFFveLrZuAWLb6a5Kt8Uu,24,0.531791667,0.135068092,0.403270833,0.198645064,-8.019083333,3.977267589,0.791666667,0.414851117,0.040891667,0.018318461,0.679641667,0.261756526,0.1554875,0.077697632,0.3092,0.136323477,122.68475,27.78674136,0.067432894,0.207191188,0,1,2,1,1,2,2,1,2,5,0,1,0,2,0,0,0,1,0,0,0,3,0,0
ISFP,SP,Isfp,3SnizM31XljdIjneSzmpZG,32,0.4295625,0.11664336,0.92553125,0.075238539,-4.30878125,1.207567048,0.625,0.491869377,0.1350625,0.093677576,0.005617269,0.015503794,0.283584375,0.161825364,0.384275,0.206700611,135.8146875,28.30851733,0.071480245,0.176525613,5,6,1,3,0,1,0,1,1,2,0,3,0,1,2,1,0,2,2,0,0,0,1,0
ISFP,SP,ISFP y más,5miLfpSU1sd8N84LX4lejO,41,0.50895122,0.157545065,0.621536585,0.173991824,-6.475390244,1.907464952,0.56097561,0.502433104,0.045407317,0.025117667,0.348056341,0.281173858,0.184287805,0.097691448,0.457534146,0.250300105,131.5150488,34.64624593,0.030800439,0.112924737,5,1,0,2,2,1,2,1,2,2,1,3,3,2,0,1,1,3,2,1,1,2,2,1
ISFP,SP,Isfp<3,2Awb6k1SeYeOvGqYP2KzRF,49,0.606163265,0.115698305,0.643265306,0.160583283,-6.316857143,1.785457738,0.673469388,0.473803541,0.068438776,0.071002411,0.21188449,0.252022669,0.191916327,0.130029281,0.421171429,0.223113563,118.7369388,31.49627213,0.000723981,0.002518387,5,2,1,3,3,1,2,2,3,3,0,6,4,2,1,1,1,0,1,1,0,4,2,1
ISFP,SP,ISFP Time,0KqbZlAq4t9zb8YNkSEk9G,50,0.56628,0.126207157,0.6824,0.187604991,-6.95366,2.91851052,0.66,0.478518121,0.06669,0.065735342,0.154773094,0.249923401,0.170824,0.113012771,0.52654,0.194275757,128.4379,31.43293399,0.096568827,0.214891979,4,2,4,2,4,1,2,2,1,2,0,2,3,5,2,3,3,0,0,2,1,3,1,1
ISFP,SP,isfp,5Vht41jJRc8bPjkDxKAe0I,50,0.56686,0.160352037,0.64908,0.202505111,-7.31328,2.553824927,0.64,0.484873221,0.060042,0.049653777,0.229953908,0.264578408,0.170114,0.125861167,0.42921,0.195855908,117.46246,28.20058538,0.107744956,0.232109803,6,4,2,4,4,2,1,2,1,4,1,2,3,5,0,1,2,0,2,1,0,2,1,0
ISFP,SP,isfp ,27G4My58AJyHznSxzgVEEa,50,0.55844,0.123975007,0.64074,0.166270963,-7.06468,2.208593157,0.46,0.503457434,0.056496,0.045089444,0.139536194,0.194247467,0.17363,0.131423365,0.378252,0.193184887,121.18366,27.90166797,0.174898437,0.311290639,2,0,0,4,1,0,2,1,3,3,2,4,3,3,2,2,4,4,0,2,1,1,4,2
ISFP,SP,isfp,6joCdEqrtY4wAksn8gvF2C,50,0.61764,0.103962466,0.49354,0.197179728,-8.5983,3.245931854,0.76,0.431419111,0.058086,0.047360709,0.488868,0.307127908,0.166066,0.113073577,0.44009,0.210812948,115.8184,29.20115234,0.026361355,0.138135574,9,3,4,1,2,2,4,2,2,6,0,4,0,3,1,0,0,0,3,1,1,1,1,0
ISFP,SP,isfp,2dsEfwyiSK6bf22H6XNtuI,50,0.59488,0.136388197,0.67112,0.171240092,-7.04738,2.749721633,0.68,0.471212071,0.065944,0.060898786,0.191660474,0.243367665,0.19641,0.136704525,0.50936,0.211309982,120.69266,30.33930896,0.052351828,0.175106634,8,4,2,4,1,2,0,1,2,5,1,3,2,4,0,1,1,0,3,1,0,3,1,1
ISFP,SP,Isfp,30GkVQtz70yGKBoYqz4HS2,50,0.46352,0.151501632,0.508544,0.237064163,-9.71304,4.37169276,0.34,0.478518121,0.03489,0.009499286,0.321019174,0.371077145,0.158484,0.088687218,0.255796,0.201949369,117.53388,22.86841903,0.223383701,0.309044397,6,2,2,9,0,0,1,1,2,2,1,1,6,1,1,0,3,4,4,2,1,0,1,0
ISFP,SP,☆INFJ x ISFP☆,6O87123wUzpzi6WnH8W75v,44,0.524318182,0.130164078,0.685409091,0.169649066,-6.332409091,2.450589699,0.568181818,0.501055967,0.065163636,0.075242279,0.233281341,0.248086317,0.182795455,0.121050234,0.389231818,0.199413205,118.1069545,28.17961513,0.0603528,0.195589404,8,2,0,4,1,2,1,1,1,2,2,2,3,2,1,3,2,2,1,1,0,2,0,1
ISFP,SP,ISFP’s Canvas,0OcMSOCP4ZEoQGDC1eNbdA,31,0.621032258,0.143588413,0.668350323,0.203756065,-7.009870968,4.177239469,0.64516129,0.486373457,0.074216129,0.084656459,0.220846871,0.259201642,0.233887097,0.190774339,0.519822581,0.269050835,118.8208387,22.94032818,0.098283664,0.271755766,3,2,2,0,3,1,3,2,1,2,0,0,1,2,0,1,1,1,1,0,0,0,4,1
ISFP,SP,isfp dump,2TqPZKVulg4M8g7goICnfZ,50,0.65018,0.155322402,0.66618,0.185329567,-6.49836,2.959230793,0.62,0.490314351,0.071296,0.073566743,0.237082,0.249274229,0.178734,0.143554398,0.60006,0.225759526,122.14972,26.97909016,0.051077722,0.163429023,6,1,5,2,0,4,3,2,1,4,1,3,2,4,1,2,2,2,0,2,0,1,1,1
ISFP,SP,ISFP,7ahXzpxjQTIjSM4DxrvI2t,34,0.6285,0.127073887,0.746941176,0.190445242,-3.904970588,2.337789664,0.735294118,0.447811076,0.074032353,0.055551831,0.255354412,0.231500836,0.193176471,0.1325027,0.553332353,0.162799815,130.7186176,25.78813804,6.20E-05,0.000322736,0,6,1,1,2,2,0,3,1,5,1,5,0,4,0,0,1,0,0,1,0,0,0,1
ISFP,SP,ISFP (scorpio moon),6pr4EKaOuG8HcisjCajGJC,6,0.688333333,0.070232946,0.732,0.133579939,-7.2095,3.687002617,0.833333333,0.40824829,0.081716667,0.086673258,0.195516667,0.142149364,0.113266667,0.098256209,0.5209,0.313580197,109.531,28.04710048,0.224121367,0.248358438,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISFP,SP,isfp,2LJBXblBKNOcCJYFo9bXWi,50,0.5136,0.112121472,0.471484,0.206036925,-8.64768,4.157689392,0.8,0.404061018,0.056286,0.049335966,0.48311042,0.341650328,0.15384,0.110568206,0.352846,0.18584234,127.52524,29.34536371,0.0384641,0.149403689,4,7,1,2,4,0,3,2,1,4,1,2,2,1,2,5,0,0,1,0,0,6,0,2
ISFP,SP,✮I'm an ISFP-T✮,45VsGklBPvRcx9B4jjOWFv,50,0.56196,0.148383805,0.6555,0.21961332,-7.43688,3.625428164,0.82,0.388087934,0.071662,0.116431576,0.258254038,0.287903392,0.1799,0.12631024,0.492634,0.259361141,122.85236,29.22421902,0.110904438,0.272769268,4,1,5,2,5,0,4,3,1,6,0,2,0,9,0,2,0,0,2,1,0,1,1,1
ISFP,SP,ISFP,2TYdZETDeffgQuKOEWtj0T,50,0.52708,0.128697373,0.47396,0.172488977,-7.0121,2.273330688,0.72,0.453557368,0.05915,0.070481288,0.5598186,0.280984766,0.152186,0.073547538,0.32456,0.142988106,111.27554,28.57404351,0.016995151,0.11440336,3,3,8,2,3,3,2,1,2,4,1,4,0,1,3,3,0,1,3,0,0,2,0,1
ISFP,SP,ISFP extremamente emocionado,3FCXEBHyPj8YxoxtzFWxWA,50,0.492306,0.132841674,0.83184,0.126303709,-4.86652,1.810156383,0.46,0.503457434,0.108272,0.086035427,0.091978874,0.131008464,0.229544,0.139470938,0.463296,0.199661054,126.01598,29.33477094,0.069040339,0.221301617,2,4,1,6,0,1,0,4,2,5,2,4,2,1,2,1,2,1,5,1,0,0,1,3
ISFP,SP,isfp-t,1CieUnuX6V3p0IzduKeb4S,12,0.751833333,0.080029351,0.83925,0.077778386,-3.325833333,0.970398216,0.416666667,0.514928651,0.133583333,0.071117851,0.11283,0.139933562,0.215266667,0.116808144,0.7585,0.099529347,106.4255833,13.7101407,1.10E-05,2.45E-05,3,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
