mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,Dminor_count,EMajor_count,A#/BbMajor_count,D#_Ebminor_count
ESFP,SP,ESFP,3oflUtmn2cXqtcYKc95vqm,50,0.7057,0.093577045,0.7551,0.114272722,-4.76046,1.179394296,0.42,0.498569382,0.084436,0.05382269,0.08627392,0.10838766,0.181664,0.145179012,0.68902,0.175702379,124.31848,23.61159721,0.000872785,0.003933059,0,1,4,2,1,1,0,4,4,4,2,6,3,1,1,1,1,1,4,5,1,0,0,3
ESFP,SP,ESFP-T,5LmtLRNk85n6PAZ3EMsJQp,50,0.7098,0.127842377,0.68274,0.160238828,-5.98526,2.551513651,0.66,0.478518121,0.09026,0.077316337,0.190281588,0.206086317,0.202142,0.160430223,0.625068,0.208012329,122.84122,25.79952407,0.025384707,0.126950086,3,3,1,5,4,0,0,0,4,3,2,1,5,3,2,2,3,1,1,1,0,0,4,2
ESFP,SP,ESFP songs (from Personality database),2OPY2zFkwaEDT6K6FroYHr,28,0.664892857,0.129841596,0.778035714,0.170637038,-5.500928571,3.022458748,0.535714286,0.5078745,0.109078571,0.097581944,0.0912615,0.170520376,0.252,0.144243449,0.607071429,0.187781182,132.695,26.41567661,0.083756818,0.234794828,0,1,0,1,5,1,0,2,2,3,0,1,3,0,0,2,1,1,3,0,0,0,1,1
ESFP,SP,esfp person,25y3vEeSjpx4JdkJcZUknp,50,0.71238,0.103957387,0.81796,0.103590237,-4.02022,1.665805845,0.56,0.501426536,0.10014,0.05956901,0.05604894,0.079240501,0.189818,0.153503206,0.62126,0.181717971,123.99112,26.24354949,0.000261918,0.001156189,3,3,1,4,3,0,1,2,0,1,2,3,4,1,3,3,5,3,2,1,2,3,0,0
ESFP,SP,Songs for ESFPs,0Cv5srYRoxp0Lr6H01cDWP,17,0.678352941,0.079052151,0.772352941,0.151500801,-5.438117647,2.244196262,0.470588235,0.514495755,0.069241176,0.048382164,0.103999412,0.195922524,0.2574,0.221209584,0.676647059,0.159298439,122.7198235,20.60829976,0.000385428,0.001369803,1,0,0,0,2,0,1,2,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,3
ESFP,SP,Esfp × infp,0VgwbvEjX3BjikaR7XyzVg,50,0.50622,0.133591869,0.6073,0.202347675,-7.88736,3.516317727,0.78,0.418451958,0.045358,0.03798482,0.227602011,0.313363084,0.17113,0.133509231,0.432818,0.216176938,114.6235,31.73342234,0.095694472,0.202634039,2,7,3,3,6,1,0,1,4,3,3,2,2,0,2,0,4,0,0,0,0,6,1,0
ESFP,SP,Esfp,1biXdcFennrW2MieJs6pAU,21,0.749285714,0.101419004,0.666095238,0.148430086,-6.49052381,1.955160572,0.428571429,0.507092553,0.076961905,0.050814432,0.155109524,0.152030369,0.151247619,0.149669849,0.551952381,0.248204044,119.4644762,20.66559295,0.002431314,0.009045632,0,1,0,0,0,0,3,3,0,1,2,0,1,0,1,2,3,0,1,1,1,0,0,1
ESFP,SP,esfp / 9w1🫶🏻,4KxhpQWr3nvz4Hxc3eBtiV,29,0.522241379,0.160098776,0.5208,0.232189984,-9.252137931,3.335109087,0.896551724,0.309934047,0.041213793,0.020119957,0.379539724,0.319774993,0.146051724,0.078219337,0.406058621,0.282673152,123.7793448,27.4503601,0.197518588,0.295834558,0,4,0,3,4,0,0,1,2,0,1,1,2,0,2,0,3,1,0,0,0,3,2,0
ESFP,SP,esfp kpop songs,2QBL8kpn2dxxoR0HnMT2Ei,50,0.73726,0.07390833,0.81768,0.116572206,-3.44604,1.766828127,0.5,0.505076272,0.090918,0.060080588,0.07022662,0.079917209,0.172736,0.1345342,0.66586,0.150905297,118.20678,17.46167721,0.000407988,0.002168885,2,3,3,2,1,0,1,2,2,3,3,1,7,1,2,2,3,3,5,1,2,1,0,0
ESFP,SP,jsmin esfp's🍵,0Ggswuw6Z94aoROIdgU1cM,12,0.54925,0.112133139,0.441416667,0.149262708,-9.351416667,2.811949129,0.75,0.452267017,0.0499,0.035167961,0.579916667,0.248201333,0.13545,0.05806278,0.3645,0.172369318,117.71,37.95895232,0.006510517,0.021284924,0,2,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,0,0,1,1,1,1,0
ESFP,SP,esfp,10f1dj3AQVn0eXKDKnvOoV,50,0.69968,0.11991467,0.76058,0.155671041,-5.7902,1.99444282,0.56,0.501426536,0.079072,0.067511481,0.17003886,0.206891393,0.196368,0.205625822,0.6801,0.212596701,122.82038,30.09991509,0.004108071,0.019755928,0,7,2,1,2,3,4,2,2,1,6,1,1,2,1,8,4,0,1,0,0,0,1,1
ESFP,SP,esfp,5n6R2SD4EtbHYcZf0iSwEi,26,0.620846154,0.152975212,0.585653846,0.143814865,-7.671423077,2.904439019,0.538461538,0.508391127,0.091988462,0.085525249,0.222585385,0.221353458,0.179926923,0.125165681,0.461730769,0.17129473,115.9557308,30.16054846,0.043120122,0.153708617,1,3,1,1,0,0,1,1,3,0,1,1,0,0,2,2,0,2,3,2,0,1,1,0
ESFP,SP,ESFP,3KMASGIzjzvn45fJJ6Kqmd,21,0.792142857,0.119041709,0.761428571,0.173279419,-6.596047619,4.260048104,0.476190476,0.511766316,0.110057143,0.08699117,0.132154619,0.147616178,0.153842857,0.107949106,0.703857143,0.23070962,122.9120952,27.0454018,0.035046719,0.117774841,0,2,2,3,2,0,0,0,0,0,0,2,2,3,0,2,1,1,1,0,0,0,0,0
ESFP,SP,esfp,7dfEpygmVMrwsNxZwc2yZ9,50,0.58882,0.132670636,0.4795,0.219344501,-8.65664,3.158469539,0.8,0.404061018,0.073442,0.066965971,0.4999056,0.315172805,0.163452,0.102200803,0.447352,0.223107952,114.78026,28.79411505,0.005583579,0.033783682,2,3,1,1,6,2,0,2,4,1,4,3,8,0,4,0,3,0,1,1,0,3,1,0
ESFP,SP,ESFP❗️,0Goeg4jPTaaGU8tVUbQw4r,50,0.6387,0.104403505,0.7822,0.152438144,-4.88354,2.67462556,0.48,0.50467205,0.073456,0.061203178,0.08260516,0.11578485,0.176636,0.137482061,0.54488,0.205025498,115.85578,28.11861649,0.036839455,0.135114858,1,6,4,2,8,0,2,4,2,4,1,1,3,1,1,3,0,2,3,0,1,0,1,0
ESFP,SP,esfp-tunes,4Okp5q28WVFZXr4aW0bgog,50,0.64308,0.118727065,0.57886,0.12981667,-6.99026,1.841951891,0.76,0.431419111,0.089522,0.11562797,0.2752124,0.251927098,0.190122,0.127648819,0.4613,0.180962309,119.57564,30.72289941,0.001541101,0.005240599,1,5,4,10,1,1,0,2,0,0,1,1,2,0,5,2,4,0,1,2,0,4,3,1
ESFP,SP,esfp,3iE8yery2PQZGXbZGlpHGk,50,0.66416,0.176226936,0.669032,0.176322739,-6.53506,2.2258051,0.78,0.418451958,0.100816,0.083076349,0.15262094,0.211389128,0.207346,0.156051626,0.499668,0.209462236,131.0363,27.26967219,0.039529175,0.159849165,1,11,1,4,6,1,0,3,1,3,1,0,1,0,3,1,6,1,1,3,0,0,2,0
ESFP,SP,esfp,1uUa1ggHqDrasGpPklt8m2,16,0.6576875,0.116819358,0.7309,0.240462554,-6.3663125,4.425336849,0.5,0.516397779,0.0805875,0.07515196,0.185808096,0.277391363,0.170925,0.108910541,0.5015,0.245433766,130.9525,25.2156583,0.040376377,0.153832216,1,0,2,0,1,0,0,2,2,0,1,2,3,0,0,1,0,0,0,0,0,0,1,0
ESFP,SP,everybody's fav esfp ,2PzObudn2FR5wlNahGM6jp,13,0.588230769,0.12750631,0.818846154,0.183875794,-5.298461538,2.445368637,0.846153846,0.375533808,0.067053846,0.039975797,0.114826923,0.190177582,0.215815385,0.136621575,0.601692308,0.217705606,129.9423077,26.26551348,0.073082555,0.229573559,0,0,0,1,0,2,0,0,0,0,1,1,1,0,1,0,3,0,1,1,0,1,0,0
ESFP,SP,ESFP songs,6DjPVCftL0PANfY69Wh7ux,50,0.64406,0.143493783,0.74074,0.155040457,-5.21592,2.062491695,0.52,0.50467205,0.0889,0.075795296,0.103713666,0.128527245,0.238406,0.20233128,0.545838,0.232560473,124.86622,24.6030137,0.00090734,0.003348898,2,3,7,4,3,0,6,1,1,0,0,2,4,1,3,2,5,1,0,1,1,1,1,1
