mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,Fminor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,EMajor_count,FMajor_count
ESTJ,SJ,estj + entj songs ,5HiXIiwZzfkLK5aQC8Ezd0,50,0.6157,0.129841544,0.6158,0.180528024,-7.08822,2.491947303,0.56,0.501426536,0.094714,0.083246354,0.2571368,0.240742989,0.19305,0.163122752,0.440894,0.226336632,113.1446,27.21536307,0.005445986,0.029505738,2,6,0,3,2,3,0,0,5,1,2,2,0,5,2,1,2,3,3,1,3,0,2,2
ESTJ,SJ,estj moment,7uMN5uXzyrExE4LHqoZIvn,50,0.76402,0.121181343,0.75108,0.12884904,-5.61738,1.807750896,0.62,0.490314351,0.149414,0.102931096,0.11737736,0.13649775,0.179004,0.106544156,0.60445,0.218383258,126.05778,19.33316036,0.004261363,0.013533841,2,3,1,4,2,2,0,1,2,2,1,2,0,4,1,4,0,3,6,1,2,4,0,3
ESTJ,SJ,KOREAN SONG 17 - estj ☕️♡ ⁺ 🕯 ༉‧,71cJgm6YtUIiqPYDw6xnAZ,50,0.71168,0.091158628,0.82058,0.090655007,-3.39984,1.72233481,0.44,0.501426536,0.08386,0.051486027,0.1042734,0.104227753,0.220048,0.169800052,0.64048,0.156414316,124.55986,21.56635375,0.000341623,0.001178079,0,4,4,2,4,1,4,0,3,4,3,2,3,3,2,2,1,4,0,0,0,2,0,2
ESTJ,SJ,estj,7xxAf0l4bqliEg3EQkcjBx,5,0.6082,0.12114124,0.6426,0.208291382,-7.5168,3.057957684,0.8,0.447213595,0.09824,0.070972762,0.36302,0.283724958,0.211,0.132619833,0.5558,0.148481312,130.5872,40.65137896,0.000745834,0.001662614,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
ESTJ,SJ,ESTJ songs,4vZIQ9H9u0XORVSTPk04T4,50,0.65908,0.134832752,0.6694,0.19440532,-6.62828,3.24168442,0.4,0.494871659,0.084056,0.05910407,0.1730557,0.225667719,0.194244,0.147417118,0.539252,0.213497971,121.42106,28.53210464,0.012375706,0.037347581,1,2,2,2,3,3,1,1,3,0,2,0,1,2,2,3,6,3,3,0,6,2,1,1
ESTJ,SJ,estj not pisces,7oMFjZW7lTkcBdGMYX6O3L,50,0.7248,0.139910905,0.65978,0.1565158,-5.84932,1.54083107,0.6,0.494871659,0.248168,0.173705926,0.137467,0.183859334,0.235558,0.209613702,0.508852,0.21966434,130.24468,29.01724471,0.000748769,0.003259346,2,1,3,9,1,4,1,0,3,1,2,3,1,3,0,2,2,2,3,0,1,3,1,2
ESTJ,SJ,estj test,2zFq7Cs5UjmYXb5eTHu423,50,0.63164,0.124265805,0.68514,0.149138343,-5.44826,1.480574858,0.46,0.503457434,0.093854,0.087899131,0.17133978,0.181262044,0.20095,0.161962413,0.46338,0.212382486,130.55926,26.87652734,0.001141361,0.003941562,4,4,1,3,1,4,1,1,4,4,3,0,1,2,2,7,1,0,1,1,4,0,1,0
ESTJ,SJ,estj >>,1JUYLBOO5OvMaNup7xeCKl,50,0.68548,0.123723233,0.68438,0.138271087,-5.7229,2.476647629,0.42,0.498569382,0.072852,0.049765197,0.11567609,0.1811027,0.16237,0.151018852,0.56156,0.211883503,120.26764,28.49700622,0.003752599,0.018773851,2,0,5,2,2,4,2,0,1,3,3,1,2,4,1,2,3,3,1,0,4,1,1,3
ESTJ,SJ,estj and entj duo,4rExrqC26Xvb4smlbnCPNn,16,0.509375,0.163852322,0.7490625,0.129710174,-6.386,2.256087351,0.5,0.516397779,0.06391875,0.034092936,0.077301,0.124612614,0.16899375,0.196757639,0.44310625,0.236713316,133.3203125,34.12098796,0.126149156,0.256002526,0,0,0,0,1,1,0,0,4,0,0,0,0,3,0,0,1,1,0,0,2,2,1,0
ESTJ,SJ,ESTJ,6dyhWpAL9RKTn2pGjkIH8r,24,0.667291667,0.143841845,0.718125,0.21145486,-5.218125,3.328115348,0.416666667,0.503610155,0.102108333,0.066629788,0.15966854,0.219396658,0.197733333,0.117344671,0.557,0.201995695,122.4185417,31.5649465,0.042203927,0.188304954,1,3,2,2,1,0,1,0,0,0,2,0,0,2,1,0,1,2,3,0,2,1,0,0
ESTJ,SJ,MBTI Te: ENTJ & ESTJ,7KKFR1kDUkNBNiUDYv3yQO,50,0.60408,0.150383841,0.74374,0.184810527,-6.0778,2.689930262,0.62,0.490314351,0.1205,0.107323351,0.15556082,0.213669722,0.208344,0.166054641,0.586336,0.197974055,125.30544,35.27233796,0.003901524,0.018635736,0,3,2,6,1,7,1,1,2,2,1,1,1,2,0,4,1,2,1,1,7,1,1,2
ESTJ,SJ,INFP의 뒤척이는 밤,6vhFIlnxaAIZktqKQBerev,16,0.6529375,0.083157256,0.601375,0.18395031,-6.480375,2.767417204,0.5,0.516397779,0.0972375,0.090962042,0.48012125,0.305117606,0.14011875,0.050507283,0.49525,0.25808642,115.3576875,32.5057287,0.120776541,0.267266158,2,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,2,2,0,0,0,1,0
ESTJ,SJ,pluto star,0ajOmKoON48smXceaW5KSL,50,0.54428,0.154852008,0.5257,0.201313873,-8.12066,2.972799104,0.78,0.418451958,0.042374,0.021905025,0.399581806,0.334854685,0.170706,0.103645846,0.4639,0.226271757,125.44332,33.91804632,0.018536559,0.085148955,1,2,0,3,0,2,0,1,1,0,4,3,1,4,1,4,1,3,1,5,1,2,3,7
ESTJ,SJ,estj af,4NLv2gvyDrvZqE5YxlKIR0,50,0.72466,0.117487404,0.68206,0.171259728,-5.72348,1.779407987,0.44,0.501426536,0.110588,0.08041892,0.14209392,0.173478213,0.184378,0.130798038,0.57232,0.202006712,122.04764,20.68820213,0.016854296,0.056583225,4,4,1,4,2,4,0,0,3,4,0,2,1,1,3,1,1,1,5,0,4,1,4,0
ESTJ,SJ,Estj,5uZbCnzzr67zmncBqiBHKZ,34,0.633117647,0.146613647,0.760970588,0.131979449,-5.5005,2.963152051,0.411764706,0.499554168,0.091370588,0.086202206,0.112828147,0.164833174,0.187705882,0.159816929,0.573744118,0.228387408,128.0767647,28.42972994,0.021477369,0.086480972,1,4,2,0,0,0,0,0,1,2,2,0,1,4,1,2,4,3,3,0,3,0,0,1
ESTJ,SJ,ESTJ,2XHBQjDKlmO6hEG77y5BCP,50,0.64578,0.15243912,0.67148,0.159258132,-5.98162,2.019370996,0.52,0.50467205,0.107088,0.094715002,0.16575928,0.22340544,0.161394,0.144358114,0.512788,0.221771098,127.4382,26.34172184,0.010211206,0.038538447,1,5,1,1,1,3,0,1,0,3,2,0,1,3,2,4,4,4,6,1,3,1,1,2
ESTJ,SJ,ESTJ Playlist,5AGafn312ZukCaEL9Ro9gm,33,0.638272727,0.139720541,0.656848485,0.212881587,-6.393969697,3.339141998,0.454545455,0.505649897,0.094881818,0.075575515,0.240047818,0.277712078,0.182506061,0.133060123,0.461624242,0.205849135,118.7239394,24.44642787,0.004611651,0.019671256,0,2,1,1,3,2,1,0,1,2,1,1,1,4,1,1,4,2,2,0,1,2,0,0
