mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,BMajor_count,Fminor_count,F#/GbMajor_count,A#/Bbminor_count,Bminor_count
ENFJ,NF,ENFJ,6wsTR0xMnA26xdG9sGFXhs,50,0.54806,0.146659735,0.60472,0.1890902,-6.90114,2.748545589,0.52,0.50467205,0.046928,0.023960836,0.29534636,0.320899343,0.189626,0.136258769,0.45492,0.198717094,116.73562,31.30904526,0.064284187,0.179803721,3,1,4,3,2,6,0,1,2,2,3,0,2,3,0,2,4,1,1,3,3,0,3,1
ENFJ,NF,enfj,2CFMy8FFQCrES8NbCCfBcH,26,0.529,0.178984022,0.636482308,0.210606785,-7.203576923,4.266025693,0.653846154,0.485164524,0.061096154,0.102074684,0.234484846,0.308390877,0.239319231,0.172439244,0.475965385,0.26011004,123.5865385,43.07525806,0.124889277,0.25418667,2,3,1,1,2,3,0,1,2,0,1,0,0,3,0,1,0,0,0,4,1,0,0,1
ENFJ,NF,enfj (taylor’s version),1Nz9Q6TJpLY0JoguW8Nyq6,24,0.579166667,0.101039238,0.606583333,0.168874514,-7.374166667,2.782054115,0.833333333,0.380693494,0.060645833,0.0410817,0.234307542,0.273913799,0.12375,0.07034704,0.412108333,0.186845632,124.8736667,32.26776484,0.008097712,0.033967825,0,1,0,0,0,4,0,0,0,2,4,0,0,5,0,1,1,1,0,0,1,2,0,2
ENFJ,NF,feeling very enfj,2JiZvyqQVEOh0lcJoRbaVs,50,0.63826,0.12794559,0.67494,0.183268333,-6.6285,2.587396329,0.5,0.505076272,0.1149,0.109708413,0.16145584,0.228066089,0.188234,0.13500986,0.519568,0.202045339,119.42334,28.48433258,0.044710815,0.15121686,1,2,2,5,1,4,2,1,1,0,1,1,3,3,3,4,4,0,3,0,3,2,2,2
ENFJ,NF,ENFJ,1hE6xtYCIkh3zouODLsyCe,50,0.54478,0.133401235,0.63202,0.212188739,-7.74028,3.621160576,0.8,0.404061018,0.042974,0.029147568,0.2751144,0.300106271,0.167076,0.140830176,0.54524,0.225737934,121.87414,27.55349478,0.067084304,0.186673867,2,7,0,2,1,6,0,1,2,1,5,3,1,6,0,2,1,4,3,2,0,1,0,0
ENFJ,NF,ENFJ 🗡️,3fI5Py2EHY7lAXrfGENrbX,49,0.431612245,0.107313951,0.87622449,0.125408211,-5.865020408,2.479057125,0.571428571,0.5,0.081265306,0.068406239,0.034523153,0.105003538,0.221889796,0.166816369,0.427930612,0.183688716,123.277449,30.12036737,0.079079653,0.164891764,0,3,2,3,1,4,1,0,9,2,0,2,2,3,1,3,2,6,1,2,0,1,0,1
ENFJ,NF,ENFJ ❗️,61FXuZBPvN8WTtFijFzur6,18,0.725555556,0.138095969,0.627388889,0.109310749,-6.526444444,1.42142953,0.333333333,0.48507125,0.155944444,0.112014139,0.283094444,0.221385484,0.103994444,0.027511783,0.637222222,0.195758121,102.8675556,21.20579714,0.02974715,0.10441255,1,1,1,0,0,1,0,0,2,0,0,1,0,1,1,0,2,1,0,0,1,2,2,1
ENFJ,NF,ENFJ Boost,2fSIOb34tL8E2TCawXH9uU,50,0.56798,0.153085076,0.66592,0.172705582,-7.6301,2.786303668,0.84,0.37032804,0.059298,0.055785904,0.287071484,0.288496557,0.163952,0.120184143,0.616756,0.273318976,132.5129,29.82982637,0.0343237,0.110604053,1,3,1,2,0,5,0,0,2,3,3,2,0,12,0,3,1,6,3,0,0,2,0,1
ENFJ,NF,songs written by enfj,5K5hzqEHCvyVb0hejq3zIP,50,0.54126,0.124038804,0.64776,0.166953074,-6.32418,2.654628655,0.64,0.484873221,0.07776,0.082314598,0.22818982,0.249184201,0.174564,0.136268399,0.41094,0.188789961,127.306,31.83367312,0.017499129,0.070307825,1,0,3,1,1,5,0,1,1,2,3,1,2,7,0,3,3,2,0,5,3,3,0,3
ENFJ,NF,Feeling like ENFJ in 2022,1lDJ7hsD41xLmxAmzKZjkq,50,0.5243,0.157975618,0.4356778,0.285235411,-11.41618,8.361477037,0.56,0.501426536,0.054142,0.0252193,0.514261,0.374632797,0.122732,0.074618208,0.347466,0.209076618,113.27988,30.70182264,0.065227262,0.223132197,2,4,3,1,3,5,2,1,0,2,3,1,0,4,0,3,4,1,1,1,2,2,4,1
ENFJ,NF,✨enfj 3w2✨,2qXz1QnKfJdTScQS9oFpLD,50,0.64494,0.116738223,0.6686,0.1773302,-6.65634,2.599927751,0.66,0.478518121,0.06592,0.044744098,0.18138706,0.200996921,0.172056,0.163144964,0.615538,0.231233336,121.85292,25.71835639,0.006941081,0.024867361,1,8,2,3,1,4,1,0,2,1,4,0,2,3,2,4,1,2,1,1,2,2,1,2
ENFJ,NF,enfj ,1LWwP1CdbBCso3akU8G7T7,50,0.69654,0.128664127,0.60648,0.159796457,-6.05012,1.744023247,0.54,0.503457434,0.122232,0.094796757,0.32784,0.241735827,0.15335,0.092514308,0.559886,0.215709169,116.32148,27.05643063,0.000895334,0.005876677,0,4,1,0,0,2,2,1,2,1,2,3,1,4,0,7,1,2,0,4,5,0,4,4
ENFJ,NF,ENFJ-A,4YGYzJiiBPkpA2RYrXBvFZ,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENFJ,NF,enfj x infp,2QLpzyQcN89QYLtq4CIySE,50,0.55178,0.155891418,0.487614,0.17020094,-9.11188,3.764878737,0.82,0.388087934,0.044128,0.024956787,0.4253316,0.310632716,0.139362,0.089947461,0.431852,0.248760259,118.93966,27.99274664,0.040070347,0.107870628,2,7,0,3,0,6,0,1,2,3,2,3,1,5,0,2,0,6,3,0,1,3,0,0
ENFJ,NF,ENFJ energy ♡,1jc3tgt0eBkrftTO8Wbvl6,50,0.60302,0.126120042,0.73622,0.160874687,-7.73254,3.171272739,0.6,0.494871659,0.04479,0.025416982,0.173455728,0.180062279,0.19827,0.191314245,0.625142,0.246921305,121.26824,24.34850194,0.007487433,0.020427643,2,2,0,2,2,4,0,2,3,0,5,3,1,5,0,2,1,4,0,3,3,1,1,4
ENFJ,NF,enfj we gang gang,4BFBFrx5ZqmXUm0sXvLWVK,19,0.657947368,0.168108587,0.740473684,0.134864693,-5.162315789,1.611184038,0.684210526,0.477566933,0.111652632,0.064032946,0.074738316,0.098008291,0.275247368,0.203985728,0.628157895,0.234109961,135.5494737,29.25868691,0.002895709,0.012496655,1,0,0,1,0,3,2,0,0,2,1,0,0,5,0,0,1,1,0,0,0,0,0,2
ENFJ,NF,ENFJ,1X2ITkyrrGtvt1SNngauzQ,19,0.551684211,0.101264808,0.703315789,0.107002104,-5.521842105,1.610675816,0.578947368,0.507257274,0.066826316,0.097965123,0.107223526,0.166672491,0.127231579,0.069092,0.364489474,0.16289191,132.5113684,23.64119935,0.076654396,0.216820793,2,1,1,1,0,1,0,1,1,1,1,0,0,2,0,0,3,0,2,1,0,0,0,1
ENFJ,NF,Enfj aka main character anthems,5Mx5OGl7MPTkOg4YE3FKmk,50,0.5608,0.17534258,0.63762,0.199558379,-6.89902,2.984962691,0.6,0.494871659,0.076496,0.0822909,0.212303608,0.262875658,0.168632,0.121569103,0.475876,0.23924753,136.9026,33.45746288,0.098330078,0.228436227,2,5,1,4,0,2,0,1,5,2,3,4,1,3,1,2,1,5,3,0,2,0,2,1
ENFJ,NF,the enfj playlist ,2zMJ1mnMa2jb2CqfxW7c7g,20,0.5533,0.127430931,0.4857,0.164914364,-7.9805,1.985857087,1,0,0.04153,0.014803524,0.53888215,0.29859227,0.1846,0.159511755,0.3742,0.14706089,112.7176,20.82424079,4.74E-05,0.00015145,0,3,0,0,0,2,0,1,0,3,3,0,0,3,0,0,0,2,2,1,0,0,0,0
ENFJ,NF,enfj-t vibes,4i854L1AP5ksRPoU9sbERq,23,0.615,0.125967889,0.620826087,0.134647909,-5.977521739,1.747077244,0.652173913,0.486984754,0.061878261,0.035609242,0.239001739,0.234797417,0.170821739,0.09939303,0.518913043,0.223289236,135.2213043,28.47652046,0.001637993,0.006951883,0,3,2,3,1,1,0,0,0,1,4,1,0,1,0,1,2,0,0,1,1,0,1,0
ENFJ,NF,enfj,4MTuyqO2RFcJ2YwhdksJiN,13,0.548615385,0.090311072,0.589846154,0.167157534,-8.730538462,2.338769998,0.769230769,0.43852901,0.040846154,0.025449644,0.279307692,0.302660184,0.244923077,0.144282975,0.466769231,0.242471013,123.3278462,27.19802528,0.013027642,0.04596753,0,0,0,1,1,2,0,0,2,1,1,0,0,0,0,1,0,2,1,1,0,0,0,0
ENFJ,NF,enfj 3w2,4YfaG5oMNG6wSzm1AeThgm,50,0.48132,0.13905724,0.46694,0.202527742,-9.43804,3.176465479,0.84,0.37032804,0.042154,0.024965913,0.38094944,0.362739315,0.146244,0.080356263,0.355918,0.170748615,123.44452,33.42486196,0.092288383,0.24045276,2,7,1,0,0,8,0,0,3,4,4,1,0,8,0,1,1,5,3,2,0,0,0,0
ENFJ,NF,𖧷Enfj𖧷,1kKFCecaZz4GNC86YQSAQz,50,0.5725,0.161837062,0.602058,0.214582273,-8.2422,3.835492726,0.58,0.498569382,0.071236,0.074951712,0.255768669,0.285599833,0.151938,0.110091811,0.436454,0.249020869,117.39676,30.02488755,0.144934294,0.275232649,3,4,2,3,0,6,3,1,0,0,3,3,1,0,1,3,1,4,0,1,2,4,0,5
ENFJ,NF,The Protagonist (ENFJ),4mqjGdeixDZ00gcKJOhUbM,35,0.641114286,0.126176527,0.632485714,0.176039496,-7.3292,2.686319369,0.828571429,0.38238526,0.085522857,0.096339297,0.220650371,0.254971814,0.155094286,0.08963992,0.499,0.213362437,120.4116857,24.8233243,0.074342367,0.19390645,0,3,1,3,0,3,0,1,0,2,6,0,0,0,0,5,0,4,0,0,0,2,3,2
ENFJ,NF,pov: you’re prettier and funnier,57PuoSgMTKxJSUBsVsj0Mm,50,0.57324,0.144336138,0.636724,0.207990396,-7.33994,2.724804501,0.68,0.471212071,0.064126,0.035557277,0.22848728,0.30323093,0.192216,0.12309175,0.455608,0.243458906,123.5468,27.07308134,0.038365202,0.114483612,0,5,1,1,0,4,0,1,4,3,4,1,1,3,0,4,3,3,2,3,1,1,2,3
